Fighter,Total Fights,Wins,Finishes,Submission Wins,Total Fight Night Bonuses,Total Fight Time,Submission Attempts,Decision Wins,KO/TKO Wins,Knockdowns Landed,Control Time,Top Position Time,Takedowns Landed,Total Strikes Landed,Sig Strikes Landed,Win Streak,Title Fight Wins,Bottom Position Percentage,Takedown Defense,Control Time Percentage,Striking Differential,Sig Strike Defense,Takedown Accuracy,Longest Avg. Fight Time,Top Position Percentage,Shortest Avg. Fight Time,Bottom Position Time,Knockdown Avg. per 15 Min.,Strikes Landed per Min.,Strikes Absorbed per Min.,Sig Strike Accuracy,Submission Avg. per 15 Min.
Jim Miller,47,28,20,14,16,7:32:57,52,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Arlovski,42,23,,,,6:49:58,,12,,,,,,,,,,,,,,,,,,,,,,,,
Donald Cerrone,38,23,16,,18,,,,10,20,,,,,,,,,,,,,,,,,,,,,,
Clay Guida,37,,,,,7:03:17,,,,,2:36:28,1:48:14,78,,,,,,,,,,,,,,,,,,,
Charles Oliveira,37,25,21,17,21,,51,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Magny,37,24,,,,7:22:49,,14,,,,,,2729,,,,,,,,,,,,,,,,,,
Rafael Dos Anjos,36,21,,,,8:43:19,,12,,,2:16:43,,68,2591,1822,,,,,,,,,,,,,,,,,
Jeremy Stephens,36,,,,,6:48:52,,,,18,,,,,,,,,,,,,,,,,,,,,,
Demian Maia,33,22,,11,,6:49:40,27,,,,2:35:20,2:01:15,68,,,,,,,,,,,,,,,,,,,
Max Holloway,33,24,14,,13,8:53:52,,,12,,,,,3994,3693,13,,,,,,,,,,,,,,,,
Jon Jones,,22,,,,,,,,,,,,,,13,16,0.19%,95.0%,,,,,,,,,,,,,
Dustin Poirier,,22,15,,15,,25,,11,15,,,,,1861,,,,,,,,,,,,,,,,,
Derrick Lewis,,,16,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,
Matt Brown,,,15,,,,24,,13,,,,,,,,,,,,,,,,,,,,,,,
Vicente Luque,,,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
